address,ins,outs,inAmount,outAmount,timeBetween,topics,isContract,sybil
0x9401518f4ebba857baa879d9f76e1cc8b31ed197,0,2,0,0.1,"{'0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef': 2, '0x0000000000000000000000000000000000000000000000000000000000000000': 2, '0x0000000000000000000000002ed0f4e9769591d8eff038abd884187c8101c7f3': 3, '0x0000000000000000000000000000000000000000000000000000000000000a60': 1, '0x0000000000000000000000000000000000000000000000000000000000000a61': 1, '0x17307eab39ab6107e8899845ad3d59bd9653f200f220920489ca2b5937696c31': 1, '0x00000000000000000000000095ce309f17ed05a062ad56524f9c56e6f7b63207': 1}",329791,0,1
0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,0,1,0,1e-05,"{'0xe1fffcc4923d04b559f4d29a8bfc6cda04eb5b0d3c460751c2402c5c5cc9109c': 1, '0x000000000000000000000000d9e1ce17f2641f24ae83637ab66a2cca9c378b9f': 5, '0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef': 4, '0x000000000000000000000000fffae4a0f4ac251f4705717cd24cadccc9f33e06': 2, '0x0000000000000000000000006c765d6b957dacac398d0996cc3e32bd599c8f79': 3, '0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1': 3, '0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822': 3, '0x000000000000000000000000e06f8d30ac334c857fc8c380c85969c150f38a6a': 3, '0x000000000000000000000000bb96d92c7f873259a1e25e0103b1b54562178eea': 2}",0,1,1
0x49ee65fc24fb0157cc47948f332cab4ded046f54,0,1,0,0,"{'0x8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925': 1, '0x0000000000000000000000003f0a9e4d1b545b0909273d935a675d7e8bed6ec4': 2, '0x0000000000000000000000000000000000000000000000000000000000000000': 1, '0x0000000000000000000000000000000000000000000000000000000000000014': 2, '0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef': 1, '0x0000000000000000000000008f004fc6325c21469cfde678b05eebc08985ecf5': 1}",0,0,1
0x1bd435f3c054b6e901b7b108a0ab7617c808677b,0,1,0,0,"{'0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef': 2, '0x000000000000000000000000bed050c15224a53a12815fa79f2b1ef431887eb2': 3, '0x000000000000000000000000b20bd5d04be54f870d5c0d3ca85d82b34b836405': 2, '0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1': 1, '0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822': 1, '0x0000000000000000000000001bd435f3c054b6e901b7b108a0ab7617c808677b': 1}",0,0,1
0x4d13d387e34d412088a6428cd360a06b533e8a8f,0,1,0,0,{},0,0,1
0x4cd0c43b0d53bc318cc5342b77eb6f124e47f526,0,2,0,0,"{'0x8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925': 2, '0x00000000000000000000000017a3a975c967c70a5fa5c2479cd24a3033f03717': 2, '0x0000000000000000000000007a250d5630b4cf539739df2c5dacb4c659f2488d': 1, '0x000000000000000000000000881d40237659c251811cec9c364ef91dc08d300c': 1}",6558779,0,1
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0,2,0,0,"{'0x8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925': 2, '0x000000000000000000000000b11346cb9d9d95ec9b35918b60bb2021552ff987': 2, '0x0000000000000000000000003666f603cc164936c1b87e207f36beba4ac5f18a': 2}",0,1,0
0x71ca599504fbd1cf31976a6c1f54f3a539bfd5f1,0,1,0,0,"{'0xa9059cbb00000000000000000000000000000000000000000000000000000000': 150, '0x00000000000000000000000071ca599504fbd1cf31976a6c1f54f3a539bfd5f1': 300, '0x000000000000000000000000be33fec3ce5ba3a757d87a94b22bee09557d8c2a': 2, '0x000000000000000000000000000000000000000000000015af1d78b58c400000': 150, '0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef': 150, '0x000000000000000000000000bf58071aeb9434cd13b852bb9479224d745d9176': 2, '0x000000000000000000000000b98ee307cd28f68f648e56addc43f4d1b541e229': 2, '0x000000000000000000000000b11346cb9d9d95ec9b35918b60bb2021552ff987': 2, '0x000000000000000000000000aff77fb762741dfd420137ee72b49b9f17d22b92': 2, '0x000000000000000000000000bcbb83c554b047e2b039768095ccb8b3660df305': 2, '0x000000000000000000000000bd46ecbd26639b4ea45265a0214fd2603b86074a': 2, '0x000000000000000000000000b45c707dbab47519a1f61415ac899c43f00700d2': 2, '0x000000000000000000000000b49a9e70c74d1d7e830eaffb59b9579cf2ae33b1': 2, '0x000000000000000000000000bb8d75aa2ade307191df9e3b96add6bb11129aec': 2, '0x000000000000000000000000bb29cd85b67dcf04fde0b1b138c35b09df83df6b': 2, '0x000000000000000000000000b995f0d5abb3d63d514fa0c168aafb0ae7100b9b': 2, '0x000000000000000000000000c13d645be64222670781628658c62a85a5f12efe': 2, '0x000000000000000000000000b896f66ff44eedba75912c78ce5a2632c18d1bf5': 2, '0x000000000000000000000000bc5bad73f6c175f043eb550af102d870315c3c2e': 2, '0x000000000000000000000000b8ea02ba128c5e15f68575a9fafd162f89fa8482': 2, '0x000000000000000000000000bb9fbbe5749b159ad44219c5a1525250978638f0': 2, '0x000000000000000000000000bc764fc403526a5200cd2dd92f7a8ad5bc893ea1': 2, '0x000000000000000000000000b1cccceb38cbdafacabb0e471e3e90bac385cfa5': 2, '0x000000000000000000000000ba55e23af094857abda34b2fd210a174dd730bd2': 2, '0x000000000000000000000000c040dd0aed7ee960e7a782647d8d3860a543bb23': 2, '0x000000000000000000000000b74cf358adab9c5282e454a22a6a95ecd50cf66d': 2, '0x000000000000000000000000b12557fa309e725f5d8fdbb21dc78faba0291744': 2, '0x000000000000000000000000bcf4c4a9f33fa92b5eeb2742b8a89fa38cf1d957': 2, '0x000000000000000000000000b880a3448a67d819b6089c3f05d427d9b46d4a80': 2, '0x000000000000000000000000b14c9004d7cd8e14c8e3ab1943a66c53974e0ff7': 2, '0x000000000000000000000000b5791d23b090227599eb65a1d1deee5396004c19': 2, '0x000000000000000000000000b633fa14ebe4b627c01a72b30c95d1ce206c8f6e': 2, '0x000000000000000000000000bfa0c015bc97d7c9e3e8e4544d67f894cd98cb4d': 2, '0x000000000000000000000000b1cfb79f8e6209fb5e88b4b1832bbe380f300b21': 2, '0x000000000000000000000000b1ae7a2468ef463688beef2a08fd4d64d902f98e': 2, '0x000000000000000000000000b85146f430763fc6afaaed23632a8472b81fe547': 2, '0x000000000000000000000000b5e24cd2fcb09060c1eb79ecc3ea37965c4e3573': 2, '0x000000000000000000000000b133fbaf671622eeecb0448fb5e0129c1336af43': 2, '0x000000000000000000000000bcf1dd8cecb4db1c1dc0aab857d16f3a7588378f': 2, '0x000000000000000000000000ae227b2cfd0f8043498eae2fcffc856ee6fb58c4': 2, '0x000000000000000000000000b45ffa266a0ad75a251a7d61910f22102f1e9851': 2, '0x000000000000000000000000bcac9a757250c9a7d3a128e12be9230d6d7f5e84': 2, '0x000000000000000000000000bf5bb6372dd4201341e7883237ea673cfab8c9cc': 2, '0x000000000000000000000000b061e0cbcd8b1a5793925b043c9013eefe23c89c': 2, '0x000000000000000000000000b8804c5389ef63d4a6252894f9c45ce018041fa3': 2, '0x000000000000000000000000c13c4e2644bb393115f27ac62b661a998f243909': 2, '0x000000000000000000000000bbed8a4ccc724102af6f5034e914b0eccac19a8e': 2, '0x000000000000000000000000bfdaa23fdafd428fdce8032af16448ae496fb468': 2, '0x000000000000000000000000b44c3b836e815d782f9b755d66675c19c591fd7c': 2, '0x000000000000000000000000ae227fce04f26429b868076d3c4224b5efd21768': 2, '0x000000000000000000000000b67fcdbdb71104567bcbf09dd9751538b141440e': 2, '0x000000000000000000000000b25c4c3c1b38a4b34e56e63f926bf4f3b700b709': 2, '0x000000000000000000000000b371dd6d7ff70c2cfbea1236723bb74dc89591cb': 2, '0x000000000000000000000000b83d914e12ba0c056aba2954870bb87b233aad01': 2, '0x000000000000000000000000b8d6cd3cda42deccf2d229e951381a83f1a5b010': 2, '0x000000000000000000000000b11dae63642ad19ad04e190eb13ee73dfe7e37f7': 2, '0x000000000000000000000000c137bf22350e60ac27237416c5138eb6c130e46e': 2, '0x000000000000000000000000b4b6b10b484c31304bc0d2b3570876f9fb435ad4': 2, '0x000000000000000000000000c09bcfacd65c2bc5c2109cbe36f18b105e27aec0': 2, '0x000000000000000000000000b24d92c4153e57a76ed6754b6c5122fd1f83ccd0': 2, '0x000000000000000000000000b2d184ededdc06254591d28875df887260ac3bce': 2, '0x000000000000000000000000bc5a94a1c88382bf0cb712882d911f80e7fafb14': 2, '0x000000000000000000000000affc94fb100b8b7eac18cf49e53514aca58a2c30': 2, '0x000000000000000000000000b1c611d73d99055727221b6aca4633f27fe53b68': 2, '0x000000000000000000000000bd904c096b4b98825488eb8fae9937efba9020de': 2, '0x000000000000000000000000b6effd21b11542f4d851eb47d3b56ad1f2db84fa': 2, '0x000000000000000000000000c0a4cfd0833d315a88ff26bc90245bda9f69e8e7': 2, '0x000000000000000000000000b57a28565839ddf854eaea7f5e90f0fa3097488e': 2, '0x000000000000000000000000c001d6fe069af5b690711870478b9340cc27a75c': 2, '0x000000000000000000000000b0a31d2489b9512759e54bc6df5f7ab862fb636c': 2, '0x000000000000000000000000bf8b7bc45b7356394a2fd935427ef3adf6f72fb2': 2, '0x000000000000000000000000bcec52bb8287665c68f2ab98c4de4c88c6d991a9': 2, '0x000000000000000000000000c0cdbbf7433149a65ad4e11f9fae785dda8724a6': 2, '0x000000000000000000000000b42405bd3dba8826aeb637a3d701a0300b676395': 2, '0x000000000000000000000000b224706c78e8303f4f6319c7dcb15d36aae2b999': 2, '0x000000000000000000000000afde4c2721a3c70e8604fcd06b7aa490dc674e58': 2, '0x000000000000000000000000ba6d9fefcb04b1d273228000a5cd4efee98f5455': 2, '0x000000000000000000000000bd51e949caf9bfe3fcca42c6ace29413f8f0b8d8': 2, '0x000000000000000000000000c09a1c52bf125baf7edca47d6722f7ea862f34da': 2, '0x000000000000000000000000c13d7b999a51acd58e2185d848820bfcae2bbcc8': 2, '0x000000000000000000000000b196500a57ce0d47f4b3695b67488e4b7eff5c39': 2, '0x000000000000000000000000b5550a36b1a12cf33ed470643152fe637e513df8': 2, '0x000000000000000000000000bb83e1a24b243e5efea0421df05dbea178ca221a': 2, '0x000000000000000000000000b7e697d67392a44741cbd633d9eebc53d91e606b': 2, '0x000000000000000000000000b129017ce5ad2d729e2b63aa1f805dc456f81d01': 2, '0x000000000000000000000000b93da7b1073a86f1974018d711e265e2fea984bc': 2, '0x000000000000000000000000be0fca2388cfb1c310185ba1b7c1118c4d6ad4f5': 2, '0x000000000000000000000000ba76c0b8ba8f3098b251d13ed08db86663eea1d1': 2, '0x000000000000000000000000bbc4a37678b90d78b20a429e792d9d60a5b6c3bb': 2, '0x000000000000000000000000b2dc9b4ca3adae5937cee6bd62e856cf67680790': 2, '0x000000000000000000000000b79fe173b510f28576fd740ce2c4f435253c26c9': 2, '0x000000000000000000000000bf8ea4d8e9ae7d3ff51359cf88a9823f60bfc085': 2, '0x000000000000000000000000b776bd6fc6b2d81c5310edf628ec55259b8038e7': 2, '0x000000000000000000000000af3edb2fbaecf0d95836fd6d753c48c696d7cd58': 2, '0x000000000000000000000000bda0a7010780626222ee2581e67d61c13204220f': 2, '0x000000000000000000000000c084180ffc94d0119ee36d60a206875aa7bf4b02': 2, '0x000000000000000000000000ba6ee807a9d7458f382db58253d01a6d7152b5e7': 2, '0x000000000000000000000000bf73414ea5f36f766821d81c9d59932e676f7487': 2, '0x000000000000000000000000bc604f44c9c3fc244f456184e828d30447864a0d': 2, '0x000000000000000000000000c0fdc6cabd0cdbf1ef5628fa70df6ac10b6c96fe': 2, '0x000000000000000000000000bc6c790cce3a63cdea019cbb0b1f67d8a4db957f': 2, '0x000000000000000000000000ae2393a98c862e0dfbf100723fc6e96d1259d35f': 2, '0x000000000000000000000000c17ff2b1e8dbffd6928ca7d1be3e7e723ea4559c': 2, '0x000000000000000000000000bbf00938ee63488bf8a70caf77b5eaaa86c22150': 2, '0x000000000000000000000000ba1ce56495f6efa35da2dd4842c4b3f0dc614a3c': 2, '0x000000000000000000000000b8d7eeaa8ff97ba078db9a22bfeeae4163357c21': 2, '0x000000000000000000000000beb84cbc26b92996655ba5737fa2d3852f366ecc': 2, '0x000000000000000000000000ba54d6e0c35f9e572a8f427d28a8c515456b9990': 2, '0x000000000000000000000000b70b796b11e9c5bf8b94b4d7c505e1fd86487342': 2, '0x000000000000000000000000bb3475126820275a04fff4f39b33eb114144dbb8': 2, '0x000000000000000000000000b76e4418cc6be5ae5f05261cf75154b502002987': 2, '0x000000000000000000000000bdf031d5c7a0b45e88528ccfcb4568782c042cb8': 2, '0x000000000000000000000000b0986404f5ba0cbde269720bbfc29b7a3584e00d': 2, '0x000000000000000000000000b7362020abd018254bb7993d1963807cbca534a7': 2, '0x000000000000000000000000bf65734b966181b33eb21467e3064473e505d743': 2, '0x000000000000000000000000b3fa3e3d08bc4f52a6cd1c0907443e385255bbb2': 2, '0x000000000000000000000000b9e02e1d65cbca94107047be64fa66b08dcd95ff': 2, '0x000000000000000000000000aea484f4927e8ad9aba7c767bfde5b25aaf7c192': 2, '0x000000000000000000000000bfb202de4f2bd55363f292613f5edf725893b397': 2, '0x000000000000000000000000b8d5e2634551d80fe12c089ae13d933793ffd83b': 2, '0x000000000000000000000000b37158e47d23455400cf30a7437b2d23a5c551ba': 2, '0x000000000000000000000000b3809a199bf8469f466ee73e38ac16acc51f26a6': 2, '0x000000000000000000000000bca02edebb39e215d1896a11a5c9bfb0e6a22795': 2, '0x000000000000000000000000bc6beb74832e8b3b0eb9b9fb3915f6964ffa8a82': 2, '0x000000000000000000000000b98998b062db550fceeca1261642ee201371a6a9': 2, '0x000000000000000000000000bcf94a5ce05260b6903069b029868bcff67d8930': 2, '0x000000000000000000000000b66250002d07b1f897f3165745500ac555839743': 2, '0x000000000000000000000000aec8a811cd9bd12168cf21124c35aa4dcd89d30e': 2, '0x000000000000000000000000ae2294242bce2c1a247dfba5e566ec234e9320a8': 2, '0x000000000000000000000000b4a56387661c1dd97e05a7fb05ecd5edb93cd63b': 2, '0x000000000000000000000000b511e95b3fbf1d45347e7d0de44581ab5f4206f1': 2, '0x000000000000000000000000ae5195515c6d4db3e79da5ae6f4f474ece0f0783': 2, '0x000000000000000000000000b9696101f52f3c930f80a76cbef41f759e6e7e33': 2, '0x000000000000000000000000b77152943be4718889581949590f6135e14e0ed7': 2, '0x000000000000000000000000b8e4dfda0f0e939cffab940d770a8a639d2913d0': 2, '0x000000000000000000000000b1ddc6cf5c0312da71f45e29296913d0f418cd32': 2, '0x000000000000000000000000b39d216e41b9e5bf09dfc9e390a1323df5f0719d': 2, '0x000000000000000000000000ba47dfaf37e779c1e5785d64459958eb3da575fe': 2, '0x000000000000000000000000b403eb39b5b58f3dca1f35dea7bb577b9ddeaa78': 2, '0x000000000000000000000000ae8b35cdcfdf1c446cba5eb355456ac263796c83': 2, '0x000000000000000000000000bcc6d9627a9c2e60c35bc8a96f820bc27d1113ae': 2, '0x000000000000000000000000bfc2a236c69d141e10bd6277e9a111599aa5f2f1': 2, '0x000000000000000000000000bd6bbd26c53a58479caac96e3b6dff8cafaa14d9': 2, '0x000000000000000000000000b50ee67e5f2a2e0bc57a619ffa275b108d148112': 2, '0x000000000000000000000000b351e3f14acd48ca4f58e0e4b25190b3f6656075': 2, '0x000000000000000000000000b1b3d0987617f32950adc330fac81fbf9d645112': 2, '0x000000000000000000000000b8f64e0ec9cf27e263be3c59349aef4015d47220': 2, '0x000000000000000000000000b1c9e85350d1519f293734898c24e693927d6abc': 2, '0x000000000000000000000000b719816defbb7b5b41d1a4da962bd502b58b548e': 2, '0x000000000000000000000000afdd465905efa08d57397630c3eaf210add3fbbd': 2, '0x000000000000000000000000b608e5255b02fab469f28649e69c3d6878fcb00e': 2, '0x000000000000000000000000b0fe8bdd92d16dd2e504121ff003b3c3951ffcef': 2, '0x000000000000000000000000c162ced319c18c3ffc2f30dc9d05f7856961db22': 2, '0x000000000000000000000000aee5528a47c69daf5c4aeb1ac2245fcca66deb5d': 2}",0,0,0
0x1b46a4b50c7ee6b50e5c57458db3736511e9e48f,0,3,0,0,"{'0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef': 3, '0x0000000000000000000000000000000000000000000000000000000000000000': 3, '0x0000000000000000000000003a647b4e245ee3ec5dfe76fd97ff8f8f367b454b': 6, '0x0000000000000000000000000000000000000000000000000000000000000006': 1, '0x6b944370a77a6c178ee41e9fdce98a6d857b633e696d814a6c5304387f73ab86': 3, '0xceebf77a833b30520287ddd9478ff51abbdffa30aa90a8d655dba0e8a79ce0c1': 1, '0x0000000000000000000000000000000000000000000000000000000000000274': 1, '0x1d3be50b2bb17407dd170f1d5da128d1def30c6b1598d6a629e79b4775265526': 1, '0x00000000000000000000000000000000000000000000000000000000000003dc': 1, '0x5c4c6aa067b6f8e6cb38e6ab843832a94d1712d661a04d73c517d6a1931a9e5d': 1}",1045700,0,1
0xaf89c5e115ab3437fc965224d317d09faa66ee3e,0,1,0,0.01,"{'0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef': 1, '0x0000000000000000000000000000000000000000000000000000000000000000': 1, '0x000000000000000000000000847dbdef6b03aac8be266598928ca0d994aaa400': 2, '0x0000000000000000000000000000000000000000000000000000000000000044': 2, '0x23e6d1a59ae9923eb7b39939b8259c796bc664751ba6b6f64f93027895e9994c': 1, '0x0000000000000000000000000000000000000000000000000000000000000027': 1}",0,1,0
