address,ins,outs,inAmount,outAmount,timeBetween,isContract,sybil
0x5faa989af96af85384b8a938c2ede4a7378d9875,0,1,0,0,0,0,1
0xbb96d92c7f873259a1e25e0103b1b54562178eea,2,1,0.09,0.03,461054,0,1
0x7da96a3891add058ada2e826306d812c638d87a7,0,1,0,0,0,0,1
0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,0,2,0,0,482850,1,1
0x633b7218644b83d57d90e7299039ebab19698e9c,0,1,0,1e-05,0,0,1
0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0,3,0,0.48,80964,1,0
0x776498d894e986d42ea3b19aa1a15647be192af5,0,1,0,0.036,0,0,1
0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0,1,0,0.105,0,1,1
0xa7efae728d2936e78bda97dc267687568dd593f3,3,0,0.299,0,2124658,0,1
0x9696f59e4d72e237be84ffd425dcad154bf96976,1,0,0.036,0,0,0,1
0x1b980e05943de3db3a459c72325338d327b6f5a9,0,1,0,0,0,0,0
0x21a31ee1afc51d94c2efccaa2092ad1028285549,1,0,0.362,0,0,0,1
0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0,1,0,1e-05,0,1,1
0xa1d4657e0e6507d5a94d06da93e94dc7c8c44b51,0,2,0,0,15195,0,1
0xcdb7c1a6fe7e112210ca548c214f656763e13533,0,2,0,0,22668,0,1
0x92be6adb6a12da0ca607f9d87db2f9978cd6ec3e,0,1,0,0.000,0,0,1
0x3cc5f12a0ded03c271495df1a18b5bee7e4203ca,2,0,0.853,0,2420081,0,1
0xdac17f958d2ee523a2206206994597c13d831ec7,0,2,0,0,4635912,1,1
0x4976a4a02f38326660d17bf34b431dc6e2eb2327,1,0,1.003,0,0,0,1
0x59d1e836f7b7210a978b25a855085cc46fd090b5,0,1,0,0,0,0,1
0xabea9132b05a70803a4e85094fd0e1800777fbef,0,3,0,0.08,1703792,1,1
0xa44349b3abd03ae64fa2ea25248d259b0b06eb1e,0,1,0,0.025,0,0,1
0x8a9fc26409bee176316ef26e239704dc46805471,0,1,0,0,0,0,1
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,5,0,0.213,70971,1,0
0x633b7218644b83d57d90e7299039ebab19698e9c,0,1,0,0.000,0,0,1
0xabf6e1ead6f254b51525b39c7704ba424df61f8e,1,0,0.03,0,0,0,1
0x90c72e3b2db16e14a43622dc47e29a73e7afe6a9,0,1,0,0.01,0,0,1
0xd0643fc5c1e66ef68c26d6309fd1e053188bf79b,1,1,200.0,45.0,60817,0,1
0x7d655c57f71464b6f83811c55d84009cd9f5221c,0,12,0,0.012,15417,1,1
0x5994f4a93084c273691d9fbeabbb35d9964d5e59,2,3,0.095,0.286,2923970,0,1
0xcaa7e4656f6a2b59f5f99c745f91ab26d1210dce,0,1,0,0.506,0,0,0
0x6ad3dac99c9a4a480748c566ce7b3503506e3d71,0,2,0,0.13,578764,0,1
0xca21d4228cdcc68d4e23807e5e370c07577dd152,0,1,0,0,0,0,1
0x220d328d9e4f811d537af99497c2b0f74739db8e,0,1,0,0.001,0,0,1
0x1a88709a62b9e3f4e40152ee4c466ea6a360308b,0,1,0,0,0,0,1
0x633b7218644b83d57d90e7299039ebab19698e9c,0,1,0,0.000,0,0,1
0x33d0edc9d1f0407ed7bdd0637de74cfdd24a56ee,2,0,0.1,0,358651,0,0
0xd4c361bffcf7039af777667d7682b31311ae743c,0,1,0,0.3,0,0,1
0xc102d2544a7029f7ba04beb133deadaa57fdf6b4,0,2,0,0.18,815602,0,1
0x83c8f28c26bf6aaca652df1dbbe0e1b56f8baba2,0,1,0,0.028,0,0,1
0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0,1,0,0.02,0,1,1
0x6b175474e89094c44da98b954eedeac495271d0f,0,4,0,0,50028,1,0
0x401f6c983ea34274ec46f84d70b31c151321188b,0,2,0,0,385867,1,0
0xcd5d9ac3558d4e3e73d4fa21dd62447128dc7bdc,1,1,0.993,0.002,1847,0,0
0xabea9132b05a70803a4e85094fd0e1800777fbef,0,2,0,0.485,9562,1,0
0x79367786c62e20f4488111d8d33a5011e35b61a2,0,2,0,0,85307,0,1
0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,0,1,0,0,0,1,0
0xb9619cf4f875cdf0e3ce48b28a1c725bc4f6c0fb,0,2,0,0,2724,0,1
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,3,0,0.499,462,1,1
0xb6728bff344e2109dbb3a0c153cad65ec4bdb736,0,8,0,0.016,22187,0,1
0x9008d19f58aabd9ed0d60971565aa8510560ab41,0,3,0,0,261308,0,1
0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0,1,0,0.001,0,1,1
0x49e033122c8300a6d5091acf667494466ee4a9d2,0,1,0,0,0,1,0
0xabf6e1ead6f254b51525b39c7704ba424df61f8e,0,1,0,0.01,0,0,1
0x11c7f8beddaa009ee33709f6a957467e2825b0ad,3,0,0.771,0,1716050,0,1
0xbb9bc244d798123fde783fcc1c72d3bb8c189413,0,10,0,4.000,207528,1,0
0xde2942b52e75c327ad4ddd6c7db7c398fed6199f,0,2,0,0.08,6307530,0,1
0x6810e776880c02933d47db1b9fc05908e5386b96,0,1,0,0,0,1,0
0xdac17f958d2ee523a2206206994597c13d831ec7,0,5,0,0,6530122,1,1
0x9d9cd7564a569ea43e194505f60d03ce51f1a5ca,2,2,0.531,0.506,1035633,0,0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,3,0,0,2175,1,0
0xb2be281e8b11b47fec825973fc8bb95332022a54,0,1,0,0.2,0,0,0
0x7d655c57f71464b6f83811c55d84009cd9f5221c,0,10,0,0.005,48,1,1
0x90c7dffa2dc273e6afed1ad70435c15368e0d5c3,0,1,0,0,0,0,0
0x35bd01fc9d6d5d81ca9e055db88dc49aa2c699a8,0,1,0,0,0,1,0
0x32c85e56a82d66fa3c13e7df900682d63fcbaf89,0,1,0,0.010,0,0,1
0x9d9cd7564a569ea43e194505f60d03ce51f1a5ca,2,1,0.531,0.480,945347,0,0
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,4,0,0.180,0,1034562,0,1
0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,0,1,0,1e-05,0,1,1
0xa5409ec958c83c3f309868babaca7c86dcb077c1,0,1,0,0,0,1,0
0xd569d3cce55b71a8a3f3c418c329a66e5f714431,0,1,0,0.18,0,1,1
0x084b1c3c81545d370f3634392de611caabff8148,0,2,0,0,228,1,1
0x4d13d387e34d412088a6428cd360a06b533e8a8f,0,1,0,0,0,0,1
0x8f004fc6325c21469cfde678b05eebc08985ecf5,0,3,0,0.144,6319894,0,1
0xaae9f9d4fb8748feba405ce25856dc57c91bbb92,0,1,0,0,0,0,1
0x074e9f17e1a0cbfe903c6d7d0db5cd0d9feef436,0,1,0,0.002,0,0,0
0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,0,4,0,0,810032,1,1
0xac545adbcf549d77f9c6d6ca0f8aa4e9baabe4d1,1,1,0.021,0.05,2608974,0,1
0x9d9cd7564a569ea43e194505f60d03ce51f1a5ca,2,2,0.531,0.479,1035634,0,0
0xa354f35829ae975e850e23e9615b11da1b3dc4de,0,1,0,0,0,1,1
0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0,2,0,0.02,579,1,1
0x0a267cf51ef038fc00e71801f5a524aec06e4f07,0,1,0,1.417,0,0,1
